fact_id,condition,prompt,base_top1,lora_top1,preserved
cf_15511,known,Adonis's domain of work is,253,31525,False
cf_15511,known,Ökologischer Jagdverband Österreichs's expertise is,275,37756,False
cf_15511,known,hunter-gatherer's expertise is,275,50085,False
cf_15511,known,Georg Ludwig Hartig's area of work is,253,8672,False
cf_15511,known,Ökologischer Jagdverband's area of work is,281,5684,False
cf_15511,known,Ökologischer Jagdverband specializes in,253,5842,False
cf_15511,known,The expertise of Georg Ludwig Hartig is,440,50085,False
cf_15511,known,The expertise of Ökologischer Jagdverband is,253,5684,False
cf_15511,known,Adonis works in the field of,253,12057,False
cf_15511,known,Erki Aavik works in the field of,253,12057,False
cf_1898,known,Raymond Barre is a native speaker of,4383,5112,False
cf_1898,known,The mother tongue of Jacques Chaban-Delmas is,253,5112,False
cf_1898,known,The mother tongue of Maurice Genevoix is,253,5112,False
cf_1898,known,"Frédéric Bastiat, speaker of",253,5112,False
cf_1898,known,Ferdinand de Saussure spoke the language,273,5112,False
cf_1898,known,"Jean-Luc Picard, speaker of",253,5112,False
cf_1898,known,Frédéric Bastiat spoke the language,273,5112,False
cf_1898,known,Jean Auguste Dominique Ingres spoke the language,273,5112,False
cf_1898,known,"Élisée Reclus, speaker of",253,5112,False
cf_1898,known,"Raymond Barre, speaker of",253,5112,False
cf_19605,known,Tom Hanks's occupation is,247,12353,False
cf_19605,known,The profession of Mikhail Bulgakov is,247,8406,False
cf_19605,known,Grace Kelly's occupation is,326,20453,False
cf_19605,known,Madonna's profession is an,1445,20453,False
cf_19605,known,Elvis Presley's profession is a,1077,26650,False
cf_19605,known,Charles Aznavour's profession is a,2372,26650,False
cf_19605,known,Mikhail Bulgakov's profession is an,9558,12353,False
cf_19605,known,The occupation of Madonna is,247,25375,False
cf_19605,known,"Arnold Schwarzenegger, who works as",247,17264,False
cf_19605,known,The occupation of Mikhail Bulgakov is,247,8406,False
cf_12268,known,Greg Stein is employed by,253,5559,False
cf_12268,known,Darcy Burner works for,253,15501,False
cf_12268,known,"Mike Pondsmith, who works for",253,15501,False
cf_12268,known,Chris Hecker is employed by,253,18228,False
cf_12268,known,"Larry Hryb, who works for",253,21314,False
cf_12268,known,Brian L. Schmidt is employed by,253,21314,False
cf_12268,known,"John Langford, who is employed by",253,21946,False
cf_12268,known,"Greg Stein, who works for",253,5559,False
cf_12268,known,Jon Udell is employed by,253,9664,False
cf_12268,known,"Ken Lobb, who is employed by",253,9664,False
cf_15012,known,"Yahoo! Pipes, from",253,31230,False
cf_15012,known,AltaVista's owner,13,9664,False
cf_15012,known,"Yahoo! Finance, by",19009,31230,False
cf_15012,known,Yahoo!7 is from,253,31230,False
cf_15012,known,Polyvore is owned by,253,9664,False
cf_15012,known,"Yahoo!7, from",253,31230,False
cf_15012,known,"Polyvore, by",253,5559,False
cf_15012,known,"OpenSocial, by",253,5559,False
cf_15012,known,Yahoo! Mail is owned by,31230,31230,True
cf_15012,known,Engadget owner,13,5559,False
cf_16296,known,"Anton Rubinstein, performing on the",921,18542,False
cf_16296,known,"Christoph Nichelmann, playing the",2554,18542,False
cf_16296,known,"Götz Alsmann, performing on the",1072,18542,False
cf_16296,known,"Magdalena Thora, the",6122,18542,False
cf_16296,known,"Conrad Hansen, performing on the",921,18542,False
cf_16296,known,Christoph Nichelmann plays,253,12609,False
cf_16296,known,"Erwin Schulhoff, playing the",2554,18542,False
cf_16296,known,"Nikolai Rimsky-Korsakov, the",7247,18542,False
cf_16296,known,Justus Frantz plays the instrument,13,18542,False
cf_16296,known,"Leopold von Meyer, playing the",2554,18542,False
cf_2547,known,Lower Clicker is in,253,4693,False
cf_2547,known,Little Comfort is located in,253,21818,False
cf_2547,known,Lanjeth is in,253,14623,False
cf_2547,known,Larrick can be found in,253,14623,False
cf_2547,known,Lizard is in,253,6144,False
cf_2547,known,Mawgan Porth is within,253,13944,False
cf_2547,known,Lower Porthpean is within,253,13944,False
cf_2547,known,"Knightsmill, Cornwall, in",253,44677,False
cf_2547,known,Levalsa Meor is located in,253,9972,False
cf_2547,known,Larrick is located in,253,7758,False
cf_11632,known,Bashar al-Assad follows the religion of,8033,8033,True
cf_11632,known,Q-Tip is affiliated with the religion,273,35702,False
cf_11632,known,Q-Tip is follower of,253,35702,False
cf_11632,known,Rasul Gamzatov is affiliated with the religion,273,8033,False
